,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
303,10,,2,10,100,1.0,1.899048137664795,1
304,10,,2,10,150,1.0,3.047640895843506,1
305,10,,2,10,200,1.0,4.38510274887085,1
306,10,,4,2,10,0.9995384615384616,0.2691525936126709,465
307,10,,4,2,25,1.0,0.6257029056549073,1
308,10,,4,2,50,1.0,1.0981420993804931,1
309,10,,4,2,100,1.0,2.188558006286621,1
310,10,,4,2,150,1.0,3.317358922958374,1
311,10,,4,2,200,1.0,4.14039192199707,1
312,10,,4,5,10,0.9995384615384616,0.2476734161376953,465
313,10,,4,5,25,1.0,0.529575252532959,1
314,10,,4,5,50,1.0,1.04647855758667,1
315,10,,4,5,100,1.0,2.171156978607178,1
316,10,,4,5,150,1.0,2.6707467079162597,1
317,10,,4,5,200,1.0,3.8609933376312258,1
318,10,,4,10,10,0.9995384615384616,0.1726585865020752,465
319,10,,4,10,25,0.9995381062355658,0.4674049377441406,468
320,10,,4,10,50,0.9995381062355658,1.2556843280792236,468
321,10,,4,10,100,1.0,2.379521942138672,1
322,10,,4,10,150,1.0,3.9961515426635743,1
323,10,,4,10,200,1.0,5.367516136169433,1
324,20,sqrt,1,2,10,1.0,0.2947988510131836,1
325,20,sqrt,1,2,25,1.0,0.2823626041412354,1
326,20,sqrt,1,2,50,1.0,0.5736877918243408,1
327,20,sqrt,1,2,100,1.0,1.0569799423217774,1
328,20,sqrt,1,2,150,1.0,2.228785514831543,1
329,20,sqrt,1,2,200,1.0,2.7134140491485597,1
330,20,sqrt,1,5,10,1.0,0.12315602302551269,1
331,20,sqrt,1,5,25,1.0,0.24740428924560548,1
332,20,sqrt,1,5,50,1.0,0.5695168495178222,1
333,20,sqrt,1,5,100,1.0,1.377707290649414,1
334,20,sqrt,1,5,150,1.0,2.6194715976715086,1
335,20,sqrt,1,5,200,1.0,2.8167795181274413,1
336,20,sqrt,1,10,10,1.0,0.3115651607513428,1
337,20,sqrt,1,10,25,1.0,0.40245909690856935,1
338,20,sqrt,1,10,50,1.0,0.6068365573883057,1
339,20,sqrt,1,10,100,1.0,1.3361799240112304,1
340,20,sqrt,1,10,150,1.0,1.901432466506958,1
341,20,sqrt,1,10,200,1.0,2.2165132999420165,1
342,20,sqrt,2,2,10,1.0,0.10999641418457032,1
343,20,sqrt,2,2,25,1.0,0.3667922496795654,1
344,20,sqrt,2,2,50,1.0,0.6038846969604492,1
345,20,sqrt,2,2,100,1.0,0.9678481578826904,1
346,20,sqrt,2,2,150,1.0,1.7964474201202392,1
347,20,sqrt,2,2,200,1.0,2.0543776512145997,1
348,20,sqrt,2,5,10,1.0,0.15421862602233888,1
349,20,sqrt,2,5,25,1.0,0.3134286880493164,1
350,20,sqrt,2,5,50,1.0,0.5730097770690918,1
351,20,sqrt,2,5,100,1.0,1.112497615814209,1
352,20,sqrt,2,5,150,1.0,1.6287950038909913,1
353,20,sqrt,2,5,200,1.0,2.375477838516235,1
354,20,sqrt,2,10,10,1.0,0.1685579776763916,1
355,20,sqrt,2,10,25,1.0,0.35129947662353517,1
356,20,sqrt,2,10,50,1.0,0.5830076217651368,1
357,20,sqrt,2,10,100,1.0,1.1428542613983155,1
358,20,sqrt,2,10,150,1.0,1.7605339527130126,1
359,20,sqrt,2,10,200,1.0,2.2114815711975098,1
360,20,sqrt,4,2,10,1.0,0.1330122470855713,1
361,20,sqrt,4,2,25,1.0,0.2915214538574219,1
362,20,sqrt,4,2,50,1.0,0.5597904682159424,1
363,20,sqrt,4,2,100,1.0,1.1436354637145996,1
364,20,sqrt,4,2,150,1.0,1.4564277172088622,1
365,20,sqrt,4,2,200,1.0,2.4190125942230223,1
366,20,sqrt,4,5,10,0.9992307692307693,0.1033968448638916,483
367,20,sqrt,4,5,25,1.0,0.2413398265838623,1
368,20,sqrt,4,5,50,1.0,0.4933743953704834,1
369,20,sqrt,4,5,100,1.0,1.199401617050171,1
370,20,sqrt,4,5,150,1.0,1.63031325340271,1
371,20,sqrt,4,5,200,1.0,2.1708818435668946,1
372,20,sqrt,4,10,10,1.0,0.13608946800231933,1
373,20,sqrt,4,10,25,1.0,0.26641345024108887,1
374,20,sqrt,4,10,50,1.0,0.5492817401885987,1
375,20,sqrt,4,10,100,1.0,1.163154697418213,1
376,20,sqrt,4,10,150,1.0,1.7220655918121337,1
377,20,sqrt,4,10,200,1.0,2.7946868419647215,1
378,20,log2,1,2,10,1.0,0.18941841125488282,1
379,20,log2,1,2,25,1.0,0.5035674095153808,1
380,20,log2,1,2,50,1.0,0.8237453460693359,1
381,20,log2,1,2,100,1.0,1.45190372467041,1
382,20,log2,1,2,150,1.0,3.914664649963379,1
383,20,log2,1,2,200,1.0,6.429844570159912,1
384,20,log2,1,5,10,1.0,0.9165844917297363,1
385,20,log2,1,5,25,1.0,0.6248802185058594,1
386,20,log2,1,5,50,1.0,1.250478410720825,1
387,20,log2,1,5,100,1.0,2.190077543258667,1
388,20,log2,1,5,150,1.0,3.632364368438721,1
389,20,log2,1,5,200,1.0,3.7418671607971192,1
390,20,log2,1,10,10,1.0,0.18590307235717773,1
391,20,log2,1,10,25,1.0,0.7349448204040527,1
392,20,log2,1,10,50,1.0,0.899030065536499,1
393,20,log2,1,10,100,1.0,1.4747931003570556,1
394,20,log2,1,10,150,1.0,1.7860907077789308,1
395,20,log2,1,10,200,1.0,2.7374223709106444,1
396,20,log2,2,2,10,1.0,0.1394181728363037,1
397,20,log2,2,2,25,1.0,0.2864034652709961,1
398,20,log2,2,2,50,1.0,0.5167428970336914,1
399,20,log2,2,2,100,1.0,1.1022460460662842,1
400,20,log2,2,2,150,1.0,1.554936456680298,1
401,20,log2,2,2,200,1.0,2.070807123184204,1
402,20,log2,2,5,10,1.0,0.14588370323181152,1
403,20,log2,2,5,25,1.0,0.30757670402526854,1
404,20,log2,2,5,50,1.0,0.5147438526153565,1
405,20,log2,2,5,100,1.0,0.9929842472076416,1
406,20,log2,2,5,150,1.0,1.691671085357666,1
407,20,log2,2,5,200,1.0,2.2097171783447265,1
408,20,log2,2,10,10,1.0,0.10166230201721191,1
409,20,log2,2,10,25,1.0,0.34423089027404785,1
410,20,log2,2,10,50,1.0,0.42081584930419924,1
411,20,log2,2,10,100,1.0,0.9506494998931885,1
412,20,log2,2,10,150,1.0,1.7101863861083983,1
413,20,log2,2,10,200,1.0,1.8757105827331544,1
414,20,log2,4,2,10,1.0,0.12518095970153809,1
415,20,log2,4,2,25,0.9996920708237106,0.22244863510131835,462
416,20,log2,4,2,50,1.0,0.42022066116333007,1
417,20,log2,4,2,100,1.0,1.0098898887634278,1
418,20,log2,4,2,150,1.0,2.060482931137085,1
419,20,log2,4,2,200,1.0,2.8413444995880126,1
420,20,log2,4,5,10,0.9993846153846153,0.23750200271606445,479
421,20,log2,4,5,25,1.0,0.42813849449157715,1
422,20,log2,4,5,50,1.0,1.296124315261841,1
423,20,log2,4,5,100,1.0,1.546354341506958,1
424,20,log2,4,5,150,1.0,1.7194215774536132,1
425,20,log2,4,5,200,1.0,2.298566389083862,1
426,20,log2,4,10,10,1.0,0.1350186824798584,1
427,20,log2,4,10,25,1.0,0.3287080764770508,1
428,20,log2,4,10,50,1.0,0.7306614875793457,1
429,20,log2,4,10,100,1.0,1.1507474422454833,1
430,20,log2,4,10,150,1.0,1.44172101020813,1
431,20,log2,4,10,200,1.0,1.8052260398864746,1
432,20,,1,2,10,1.0,0.1940591812133789,1
433,20,,1,2,25,1.0,0.4961667537689209,1
434,20,,1,2,50,1.0,1.4827830791473389,1
435,20,,1,2,100,1.0,2.9247661590576173,1
436,20,,1,2,150,1.0,3.066478443145752,1
437,20,,1,2,200,1.0,3.9546908378601073,1
438,20,,1,5,10,1.0,0.20261530876159667,1
439,20,,1,5,25,1.0,0.4470560550689697,1
440,20,,1,5,50,1.0,0.8884371757507324,1
441,20,,1,5,100,1.0,1.8852849006652832,1
442,20,,1,5,150,1.0,3.2204623222351074,1
443,20,,1,5,200,1.0,4.7011474609375,1
444,20,,1,10,10,0.9993842600817195,0.2091890811920166,482
445,20,,1,10,25,1.0,0.5734354019165039,1
446,20,,1,10,50,0.9995381062355658,1.0054349899291992,468
447,20,,1,10,100,1.0,2.5100783824920656,1
448,20,,1,10,150,1.0,4.23074312210083,1
449,20,,1,10,200,1.0,6.37354531288147,1
450,20,,2,2,10,1.0,0.28258113861083983,1
451,20,,2,2,25,1.0,0.8226584911346435,1
452,20,,2,2,50,1.0,1.272217321395874,1
453,20,,2,2,100,1.0,3.5812733650207518,1
454,20,,2,2,150,1.0,4.972612094879151,1
455,20,,2,2,200,1.0,6.729103136062622,1
456,20,,2,5,10,1.0,0.21485729217529298,1
457,20,,2,5,25,1.0,0.5569221496582031,1
458,20,,2,5,50,1.0,1.542029333114624,1
459,20,,2,5,100,1.0,3.8732513427734374,1
460,20,,2,5,150,1.0,4.14944748878479,1
461,20,,2,5,200,1.0,4.8616725444793705,1
462,20,,2,10,10,0.9998461538461537,0.23507466316223144,456
463,20,,2,10,25,1.0,0.5740386009216308,1
464,20,,2,10,50,1.0,1.4743627548217773,1
465,20,,2,10,100,1.0,3.163413333892822,1
466,20,,2,10,150,1.0,4.361131286621093,1
467,20,,2,10,200,1.0,4.590297269821167,1
468,20,,4,2,10,0.9992304139278735,0.304780912399292,484
469,20,,4,2,25,1.0,0.5892608642578125,1
470,20,,4,2,50,1.0,1.2190675258636474,1
471,20,,4,2,100,1.0,2.674812173843384,1
472,20,,4,2,150,1.0,4.217384910583496,1
473,20,,4,2,200,1.0,4.937361478805542,1
474,20,,4,5,10,1.0,0.26239724159240724,1
475,20,,4,5,25,1.0,0.6089349746704101,1
476,20,,4,5,50,1.0,1.0998594760894775,1
477,20,,4,5,100,1.0,2.345431900024414,1
478,20,,4,5,150,1.0,3.203672456741333,1
479,20,,4,5,200,1.0,5.167615842819214,1
480,20,,4,10,10,0.9984611831586427,0.2509463787078857,486
481,20,,4,10,25,1.0,0.5522430896759033,1
482,20,,4,10,50,1.0,1.1115668773651124,1
483,20,,4,10,100,0.9995381062355658,2.497275638580322,468
484,20,,4,10,150,0.9996920708237106,4.283843326568603,462
485,20,,4,10,200,0.9996920708237106,4.8170819759368895,462
