,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
184,1.0,200,elasticnet,liblinear,,0.005312347412109375,226
185,1.0,200,elasticnet,saga,,0.02976856231689453,226
186,1.0,200,elasticnet,lbfgs,,0.018297767639160155,226
187,1.0,200,elasticnet,newton-cg,,0.011172246932983399,226
188,1.0,200,,liblinear,,0.005939197540283203,226
189,1.0,200,,saga,0.9573769171552081,2.5153956413269043,126
190,1.0,200,,lbfgs,0.9615321845206373,0.5236226081848144,6
191,1.0,200,,newton-cg,0.9606091075975602,0.24701895713806152,38
192,1.0,300,l1,liblinear,0.9583002309468822,7.526636695861816,103
193,1.0,300,l1,saga,0.9570695801504117,3.941162443161011,134
194,1.0,300,l1,lbfgs,,0.004732322692871094,226
195,1.0,300,l1,newton-cg,,0.0041202068328857425,226
196,1.0,300,l2,liblinear,0.9529144312192811,0.2930774211883545,159
197,1.0,300,l2,saga,0.9533759696808195,4.628680944442749,158
198,1.0,300,l2,lbfgs,0.9542995203410907,0.7800076007843018,141
199,1.0,300,l2,newton-cg,0.9544533664949368,0.24908881187438964,136
200,1.0,300,elasticnet,liblinear,,0.023473310470581054,226
201,1.0,300,elasticnet,saga,,0.006659030914306641,226
202,1.0,300,elasticnet,lbfgs,,0.007678365707397461,226
203,1.0,300,elasticnet,newton-cg,,0.007798147201538086,226
204,1.0,300,,liblinear,,0.004425716400146484,226
205,1.0,300,,saga,0.9576849647657962,2.63613018989563,116
206,1.0,300,,lbfgs,0.9610706460590988,0.6516453266143799,11
207,1.0,300,,newton-cg,0.9606091075975602,0.40471572875976564,38
208,1.0,400,l1,liblinear,0.958146384793036,6.460915517807007,114
209,1.0,400,l1,saga,0.9578389293539409,4.201616621017456,115
210,1.0,400,l1,lbfgs,,0.00650634765625,226
211,1.0,400,l1,newton-cg,,0.005920267105102539,226
212,1.0,400,l2,liblinear,0.9529144312192811,0.15828051567077636,159
213,1.0,400,l2,saga,0.9535301711375614,3.422501564025879,155
214,1.0,400,l2,lbfgs,0.9542995203410907,0.5228918075561524,141
215,1.0,400,l2,newton-cg,0.9544533664949368,0.22145705223083495,136
216,1.0,400,elasticnet,liblinear,,0.004514646530151367,226
217,1.0,400,elasticnet,saga,,0.004150199890136719,226
218,1.0,400,elasticnet,lbfgs,,0.015165281295776368,226
219,1.0,400,elasticnet,newton-cg,,0.008091545104980469,226
220,1.0,400,,liblinear,,0.004974651336669922,226
221,1.0,400,,saga,0.9581465032273346,2.8145659446716307,106
222,1.0,400,,lbfgs,0.9610706460590988,0.3461954116821289,11
